Romania_index,z_index_index,ATC_match,best_z_index_index
0,13370,True,
0,13381,True,
0,18032,True,
0,23229,True,
1,13370,True,
1,13381,True,
1,18032,True,
1,23229,True,
2,25044,True,27375
2,25045,True,27375
2,25046,True,27375
2,25047,True,27375
2,25048,True,27375
2,25049,True,27375
2,25050,True,27375
2,25051,True,27375
6,11865,True,8311
10,2620,True,23698
10,2621,True,23698
10,2622,True,23698
10,6396,True,23698
10,7332,True,23698
10,46624,True,23698
12,12864,True,23493
15,7032,True,69523
15,9089,True,69523
15,9090,True,69523
15,9091,True,69523
15,21900,True,69523
15,21901,True,69523
15,21902,True,69523
15,26665,True,69523
15,28754,True,69523
17,1304,True,
17,1305,True,
17,1306,True,
17,2421,True,
17,3742,True,
17,3743,True,
17,4531,True,
17,4532,True,
17,6425,True,
17,25866,True,
17,39174,True,
17,54001,True,
17,54580,True,
17,54581,True,
17,54582,True,
17,54583,True,
17,55315,True,
17,57722,True,
17,57723,True,
17,60166,True,
17,64869,True,
17,69203,True,
17,69397,True,
17,72440,True,
18,1845,True,60062
18,1846,True,60062
18,1847,True,60062
18,17821,True,60062
18,17822,True,60062
18,20807,True,60062
18,22190,True,60062
18,28032,True,60062
18,54111,True,60062
18,54112,True,60062
18,54113,True,60062
18,54114,True,60062
18,54115,True,60062
18,54116,True,60062
18,71787,True,60062
18,74363,True,60062
19,3692,True,
19,3693,True,
19,3694,True,
19,6453,True,
19,28628,True,
20,4596,True,
20,4691,True,
20,13270,True,
20,19190,True,
20,19191,True,
20,22691,True,
20,22693,True,
20,22694,True,
20,22695,True,
20,22696,True,
20,22697,True,
20,22698,True,
20,22699,True,
20,22752,True,
20,24450,True,
20,25387,True,
20,25388,True,
20,25884,True,
20,28108,True,
20,28109,True,
20,28341,True,
20,28521,True,
20,28522,True,
20,28523,True,
20,28524,True,
20,36983,True,
20,44178,True,
20,48534,True,
20,68315,True,
20,68317,True,
21,2631,True,25542
21,2826,True,25542
21,3531,True,25542
21,13283,True,25542
21,16248,True,25542
28,2637,True,52833
28,2638,True,52833
28,2639,True,52833
28,7026,True,52833
28,7027,True,52833
28,52630,True,52833
29,2637,True,52825
29,2638,True,52825
29,2639,True,52825
29,7026,True,52825
29,7027,True,52825
29,52630,True,52825
30,2637,True,52817
30,2638,True,52817
30,2639,True,52817
30,7026,True,52817
30,7027,True,52817
30,52630,True,52817
32,1739,True,49433
32,2447,True,49433
32,12405,True,49433
32,12406,True,49433
32,12407,True,49433
32,12408,True,49433
32,13835,True,49433
32,14550,True,49433
32,14552,True,49433
32,25257,True,49433
33,1739,True,49441
33,2447,True,49441
33,12405,True,49441
33,12406,True,49441
33,12407,True,49441
33,12408,True,49441
33,13835,True,49441
33,14550,True,49441
33,14552,True,49441
33,25257,True,49441
37,2620,True,23698
37,2621,True,23698
37,2622,True,23698
37,6396,True,23698
37,7332,True,23698
37,46624,True,23698
39,28107,True,6572
39,46376,True,6572
39,56948,True,6572
39,63482,True,6572
51,3184,True,60151
51,28046,True,60151
53,799,True,37745
53,800,True,37745
53,801,True,37745
53,910,True,37745
53,1227,True,37745
53,2758,True,37745
53,3757,True,37745
53,3758,True,37745
53,3759,True,37745
53,63000,True,37745
53,63001,True,37745
53,69197,True,37745
54,799,True,37737
54,800,True,37737
54,801,True,37737
54,910,True,37737
54,1227,True,37737
54,2758,True,37737
54,3757,True,37737
54,3758,True,37737
54,3759,True,37737
54,63000,True,37737
54,63001,True,37737
54,69197,True,37737
65,24773,True,23043
65,24774,True,23043
65,26028,True,23043
65,26029,True,23043
65,26030,True,23043
65,26031,True,23043
65,39330,True,23043
65,42078,True,23043
65,42079,True,23043
65,49211,True,23043
65,49212,True,23043
65,49213,True,23043
65,49617,True,23043
65,49618,True,23043
65,49619,True,23043
65,49621,True,23043
65,52102,True,23043
65,52103,True,23043
65,52114,True,23043
65,52122,True,23043
65,52128,True,23043
65,52130,True,23043
65,52457,True,23043
65,53129,True,23043
65,53156,True,23043
65,54043,True,23043
65,54045,True,23043
65,54046,True,23043
65,54610,True,23043
65,54613,True,23043
65,54614,True,23043
65,54947,True,23043
65,55327,True,23043
65,57711,True,23043
65,58296,True,23043
65,58309,True,23043
65,58310,True,23043
65,58311,True,23043
65,58312,True,23043
65,58313,True,23043
65,58315,True,23043
65,58316,True,23043
65,58318,True,23043
65,58319,True,23043
65,58504,True,23043
65,58689,True,23043
65,58691,True,23043
65,58987,True,23043
65,58994,True,23043
65,58995,True,23043
65,58996,True,23043
65,58997,True,23043
65,60202,True,23043
65,60204,True,23043
65,60207,True,23043
65,61008,True,23043
65,61009,True,23043
65,62378,True,23043
65,62548,True,23043
65,63020,True,23043
65,63577,True,23043
65,63578,True,23043
65,64787,True,23043
65,64788,True,23043
65,64789,True,23043
65,65081,True,23043
65,65082,True,23043
65,65083,True,23043
65,65084,True,23043
65,65085,True,23043
65,65302,True,23043
65,65402,True,23043
65,65474,True,23043
65,65475,True,23043
65,65478,True,23043
65,65480,True,23043
65,65488,True,23043
65,65491,True,23043
65,65503,True,23043
65,65552,True,23043
65,65553,True,23043
65,65560,True,23043
65,65865,True,23043
65,66115,True,23043
65,66116,True,23043
65,66117,True,23043
65,66118,True,23043
65,66122,True,23043
65,66123,True,23043
65,66874,True,23043
65,66875,True,23043
65,66878,True,23043
65,66880,True,23043
65,66881,True,23043
65,66882,True,23043
65,66883,True,23043
65,67863,True,23043
65,68189,True,23043
65,68229,True,23043
65,68230,True,23043
65,68251,True,23043
65,68314,True,23043
65,68496,True,23043
65,69161,True,23043
65,69181,True,23043
65,69182,True,23043
65,69184,True,23043
65,69190,True,23043
65,69400,True,23043
65,70876,True,23043
65,71851,True,23043
65,72534,True,23043
65,72535,True,23043
65,72536,True,23043
65,73588,True,23043
66,24773,True,32662
66,24774,True,32662
66,26028,True,32662
66,26029,True,32662
66,26030,True,32662
66,26031,True,32662
66,39330,True,32662
66,42078,True,32662
66,42079,True,32662
66,49211,True,32662
66,49212,True,32662
66,49213,True,32662
66,49617,True,32662
66,49618,True,32662
66,49619,True,32662
66,49621,True,32662
66,52102,True,32662
66,52103,True,32662
66,52114,True,32662
66,52122,True,32662
66,52128,True,32662
66,52130,True,32662
66,52457,True,32662
66,53129,True,32662
66,53156,True,32662
66,54043,True,32662
66,54045,True,32662
66,54046,True,32662
66,54610,True,32662
66,54613,True,32662
66,54614,True,32662
66,54947,True,32662
66,55327,True,32662
66,57711,True,32662
66,58296,True,32662
66,58309,True,32662
66,58310,True,32662
66,58311,True,32662
66,58312,True,32662
66,58313,True,32662
66,58315,True,32662
66,58316,True,32662
66,58318,True,32662
66,58319,True,32662
66,58504,True,32662
66,58689,True,32662
66,58691,True,32662
66,58987,True,32662
66,58994,True,32662
66,58995,True,32662
66,58996,True,32662
66,58997,True,32662
66,60202,True,32662
66,60204,True,32662
66,60207,True,32662
66,61008,True,32662
66,61009,True,32662
66,62378,True,32662
66,62548,True,32662
66,63020,True,32662
66,63577,True,32662
66,63578,True,32662
66,64787,True,32662
66,64788,True,32662
66,64789,True,32662
66,65081,True,32662
66,65082,True,32662
66,65083,True,32662
66,65084,True,32662
66,65085,True,32662
66,65302,True,32662
66,65402,True,32662
66,65474,True,32662
66,65475,True,32662
66,65478,True,32662
66,65480,True,32662
66,65488,True,32662
66,65491,True,32662
66,65503,True,32662
66,65552,True,32662
66,65553,True,32662
66,65560,True,32662
66,65865,True,32662
66,66115,True,32662
66,66116,True,32662
66,66117,True,32662
66,66118,True,32662
66,66122,True,32662
66,66123,True,32662
66,66874,True,32662
66,66875,True,32662
66,66878,True,32662
66,66880,True,32662
66,66881,True,32662
66,66882,True,32662
66,66883,True,32662
66,67863,True,32662
66,68189,True,32662
66,68229,True,32662
66,68230,True,32662
66,68251,True,32662
66,68314,True,32662
66,68496,True,32662
66,69161,True,32662
66,69181,True,32662
66,69182,True,32662
66,69184,True,32662
66,69190,True,32662
66,69400,True,32662
66,70876,True,32662
66,71851,True,32662
66,72534,True,32662
66,72535,True,32662
66,72536,True,32662
66,73588,True,32662
71,2439,True,
71,2440,True,
75,6654,True,164836
75,14459,True,164836
75,14461,True,164836
75,56117,True,164836
75,61137,True,164836
75,61138,True,164836
75,64589,True,164836
75,66340,True,164836
76,36372,True,
78,1311,True,59986
78,1312,True,59986
78,3141,True,59986
78,3177,True,59986
78,6193,True,59986
78,8467,True,59986
78,17591,True,59986
78,46913,True,59986
78,58294,True,59986
78,58295,True,59986
78,60200,True,59986
78,65533,True,59986
78,67854,True,59986
79,730,True,
79,28795,True,
79,43851,True,
80,605,True,27278
80,703,True,27278
80,1313,True,27278
80,1883,True,27278
80,3116,True,27278
80,3874,True,27278
80,5915,True,27278
80,13567,True,27278
80,22818,True,27278
80,32783,True,27278
80,43219,True,27278
80,43559,True,27278
80,50650,True,27278
80,50651,True,27278
80,63216,True,27278
80,73956,True,27278
81,605,True,27251
81,703,True,27251
81,1313,True,27251
81,1883,True,27251
81,3116,True,27251
81,3874,True,27251
81,5915,True,27251
81,13567,True,27251
81,22818,True,27251
81,32783,True,27251
81,43219,True,27251
81,43559,True,27251
81,50650,True,27251
81,50651,True,27251
81,63216,True,27251
81,73956,True,27251
82,605,True,
82,703,True,
82,1313,True,
82,1883,True,
82,3116,True,
82,3874,True,
82,5915,True,
82,13567,True,
82,22818,True,
82,32783,True,
82,43219,True,
82,43559,True,
82,50650,True,
82,50651,True,
82,63216,True,
82,73956,True,
83,4704,True,75736
83,4705,True,75736
83,4706,True,75736
83,4707,True,75736
83,44699,True,75736
84,7032,True,
84,9089,True,
84,9090,True,
84,9091,True,
84,21900,True,
84,21901,True,
84,21902,True,
84,26665,True,
84,28754,True,
85,7032,True,
85,9089,True,
85,9090,True,
85,9091,True,
85,21900,True,
85,21901,True,
85,21902,True,
85,26665,True,
85,28754,True,
86,427,True,
86,428,True,
86,584,True,
86,19222,True,
86,20496,True,
86,32729,True,
86,41485,True,
86,50275,True,
86,71110,True,
87,12488,True,
87,12489,True,
87,12490,True,
87,12535,True,
87,27385,True,
87,52666,True,
87,54141,True,
101,1738,True,32204
101,4753,True,32204
101,4832,True,32204
101,4833,True,32204
101,6760,True,32204
102,27847,True,66761
102,27848,True,66761
102,27849,True,66761
102,27850,True,66761
104,10391,True,167398
104,11176,True,167398
104,20094,True,167398
104,20562,True,167398
104,22742,True,167398
105,10391,True,167371
105,11176,True,167371
105,20094,True,167371
105,20562,True,167371
105,22742,True,167371
106,10391,True,167363
106,11176,True,167363
106,20094,True,167363
106,20562,True,167363
106,22742,True,167363
107,553,True,
107,2178,True,
107,2369,True,
107,2386,True,
107,3636,True,
107,6065,True,
107,25860,True,
107,42703,True,
107,46734,True,
107,54579,True,
107,69955,True,
107,71105,True,
110,2855,True,48801
110,3984,True,48801
110,19122,True,48801
111,2855,True,48798
111,3984,True,48798
111,19122,True,48798
113,25044,True,38423
113,25045,True,38423
113,25046,True,38423
113,25047,True,38423
113,25048,True,38423
113,25049,True,38423
113,25050,True,38423
113,25051,True,38423
114,25044,True,32166
114,25045,True,32166
114,25046,True,32166
114,25047,True,32166
114,25048,True,32166
114,25049,True,32166
114,25050,True,32166
114,25051,True,32166
115,25044,True,38415
115,25045,True,38415
115,25046,True,38415
115,25047,True,38415
115,25048,True,38415
115,25049,True,38415
115,25050,True,38415
115,25051,True,38415
122,698,True,
123,7401,True,81388
123,8999,True,81388
124,7401,True,81396
124,8999,True,81396
125,15794,True,70319
125,18142,True,70319
125,23597,True,70319
126,15794,True,70300
126,18142,True,70300
126,23597,True,70300
127,730,True,30724
127,28795,True,30724
127,43851,True,30724
130,7032,True,
130,9089,True,
130,9090,True,
130,9091,True,
130,21900,True,
130,21901,True,
130,21902,True,
130,26665,True,
130,28754,True,
132,11263,True,71293
132,11298,True,71293
132,49337,True,71293
138,74816,True,
138,74817,True,
140,1448,True,72133
140,1449,True,72133
141,1448,True,72141
141,1449,True,72141
142,6654,True,60674
142,14459,True,60674
142,14461,True,60674
142,56117,True,60674
142,61137,True,60674
142,61138,True,60674
142,64589,True,60674
142,66340,True,60674
143,15794,True,70319
143,18142,True,70319
143,23597,True,70319
144,15794,True,70300
144,18142,True,70300
144,23597,True,70300
145,14698,True,142603
145,18129,True,142603
145,30749,True,142603
145,35015,True,142603
145,35034,True,142603
145,35053,True,142603
145,64254,True,142603
145,64255,True,142603
145,64256,True,142603
146,27847,True,66753
146,27848,True,66753
146,27849,True,66753
146,27850,True,66753
147,27847,True,66745
147,27848,True,66745
147,27849,True,66745
147,27850,True,66745
148,1473,True,
148,1474,True,
148,5734,True,
148,6631,True,
148,6632,True,
148,6633,True,
148,6634,True,
148,10441,True,
148,39313,True,
148,58671,True,
150,27720,True,
151,27720,True,
152,27720,True,
157,605,True,
157,703,True,
157,1313,True,
157,1883,True,
157,3116,True,
157,3874,True,
157,5915,True,
157,13567,True,
157,22818,True,
157,32783,True,
157,43219,True,
157,43559,True,
157,50650,True,
157,50651,True,
157,63216,True,
157,73956,True,
159,1304,True,
159,1305,True,
159,1306,True,
159,2421,True,
159,3742,True,
159,3743,True,
159,4531,True,
159,4532,True,
159,6425,True,
159,25866,True,
159,39174,True,
159,54001,True,
159,54580,True,
159,54581,True,
159,54582,True,
159,54583,True,
159,55315,True,
159,57722,True,
159,57723,True,
159,60166,True,
159,64869,True,
159,69203,True,
159,69397,True,
159,72440,True,
161,605,True,17760
161,703,True,17760
161,1313,True,17760
161,1883,True,17760
161,3116,True,17760
161,3874,True,17760
161,5915,True,17760
161,13567,True,17760
161,22818,True,17760
161,32783,True,17760
161,43219,True,17760
161,43559,True,17760
161,50650,True,17760
161,50651,True,17760
161,63216,True,17760
161,73956,True,17760
166,12457,True,85448
166,18141,True,85448
167,19565,True,101877
168,12488,True,24082
168,12489,True,24082
168,12490,True,24082
168,12535,True,24082
168,27385,True,24082
168,52666,True,24082
168,54141,True,24082
169,1317,True,
169,2498,True,
169,2611,True,
169,2612,True,
169,2613,True,
169,2640,True,
169,2734,True,
169,4835,True,
169,5750,True,
169,8335,True,
169,15146,True,
169,15147,True,
169,15927,True,
169,16303,True,
169,20544,True,
169,20573,True,
169,23590,True,
169,24390,True,
169,28396,True,
169,29836,True,
169,30490,True,
169,35924,True,
169,36780,True,
169,54370,True,
169,73936,True,
170,3692,True,26646
170,3693,True,26646
170,3694,True,26646
170,6453,True,26646
170,28628,True,26646
171,3692,True,26638
171,3693,True,26638
171,3694,True,26638
171,6453,True,26638
171,28628,True,26638
173,8307,True,74934
173,25362,True,74934
178,13620,True,95265
178,13625,True,95265
179,3692,True,26611
179,3693,True,26611
179,3694,True,26611
179,6453,True,26611
179,28628,True,26611
180,3692,True,26646
180,3693,True,26646
180,3694,True,26646
180,6453,True,26646
180,28628,True,26646
182,1845,True,60062
182,1846,True,60062
182,1847,True,60062
182,17821,True,60062
182,17822,True,60062
182,20807,True,60062
182,22190,True,60062
182,28032,True,60062
182,54111,True,60062
182,54112,True,60062
182,54113,True,60062
182,54114,True,60062
182,54115,True,60062
182,54116,True,60062
182,71787,True,60062
182,74363,True,60062
183,1673,True,198730
183,20532,True,198730
183,45425,True,198730
183,72314,True,198730
189,21317,True,
189,46015,True,
190,27720,True,
196,1309,True,5495
196,1310,True,5495
196,1378,True,5495
196,3481,True,5495
196,4818,True,5495
196,4819,True,5495
196,5886,True,5495
196,5887,True,5495
196,5888,True,5495
196,5889,True,5495
196,5913,True,5495
196,10394,True,5495
196,10395,True,5495
196,10396,True,5495
196,10398,True,5495
196,12934,True,5495
196,12936,True,5495
196,12938,True,5495
196,13583,True,5495
196,20152,True,5495
196,20153,True,5495
196,28036,True,5495
196,38171,True,5495
196,70585,True,5495
196,70601,True,5495
196,70602,True,5495
196,70839,True,5495
197,1309,True,5495
197,1310,True,5495
197,1378,True,5495
197,3481,True,5495
197,4818,True,5495
197,4819,True,5495
197,5886,True,5495
197,5887,True,5495
197,5888,True,5495
197,5889,True,5495
197,5913,True,5495
197,10394,True,5495
197,10395,True,5495
197,10396,True,5495
197,10398,True,5495
197,12934,True,5495
197,12936,True,5495
197,12938,True,5495
197,13583,True,5495
197,20152,True,5495
197,20153,True,5495
197,28036,True,5495
197,38171,True,5495
197,70585,True,5495
197,70601,True,5495
197,70602,True,5495
197,70839,True,5495
201,4704,True,
201,4705,True,
201,4706,True,
201,4707,True,
201,44699,True,
209,6034,True,79553
209,24029,True,79553
209,25189,True,79553
209,72315,True,79553
211,1317,True,
211,2498,True,
211,2611,True,
211,2612,True,
211,2613,True,
211,2640,True,
211,2734,True,
211,4835,True,
211,5750,True,
211,8335,True,
211,15146,True,
211,15147,True,
211,15927,True,
211,16303,True,
211,20544,True,
211,20573,True,
211,23590,True,
211,24390,True,
211,28396,True,
211,29836,True,
211,30490,True,
211,35924,True,
211,36780,True,
211,54370,True,
211,73936,True,
212,16352,True,
213,5995,True,79227
213,6003,True,79227
213,20884,True,79227
214,5995,True,79219
214,6003,True,79219
214,20884,True,79219
215,29088,True,136913
215,32479,True,136913
215,52938,True,136913
219,14698,True,
219,18129,True,
219,30749,True,
219,35015,True,
219,35034,True,
219,35053,True,
219,64254,True,
219,64255,True,
219,64256,True,
222,2349,True,
222,2350,True,
223,13620,True,95273
223,13625,True,95273
224,13620,True,95265
224,13625,True,95265
227,9032,True,214213
227,9040,True,214213
227,9048,True,214213
227,57374,True,214213
228,9032,True,214191
228,9040,True,214191
228,9048,True,214191
228,57374,True,214191
231,1304,True,5223
231,1305,True,5223
231,1306,True,5223
231,2421,True,5223
231,3742,True,5223
231,3743,True,5223
231,4531,True,5223
231,4532,True,5223
231,6425,True,5223
231,25866,True,5223
231,39174,True,5223
231,54001,True,5223
231,54580,True,5223
231,54581,True,5223
231,54582,True,5223
231,54583,True,5223
231,55315,True,5223
231,57722,True,5223
231,57723,True,5223
231,60166,True,5223
231,64869,True,5223
231,69203,True,5223
231,69397,True,5223
231,72440,True,5223
233,6553,True,80934
233,18134,True,80934
233,52569,True,80934
235,429,True,
235,552,True,
235,609,True,
235,1339,True,
235,1594,True,
235,4194,True,
235,4535,True,
235,4536,True,
235,13582,True,
235,42510,True,
235,42511,True,
235,69244,True,
237,55207,True,210307
239,1304,True,
239,1305,True,
239,1306,True,
239,2421,True,
239,3742,True,
239,3743,True,
239,4531,True,
239,4532,True,
239,6425,True,
239,25866,True,
239,39174,True,
239,54001,True,
239,54580,True,
239,54581,True,
239,54582,True,
239,54583,True,
239,55315,True,
239,57722,True,
239,57723,True,
239,60166,True,
239,64869,True,
239,69203,True,
239,69397,True,
239,72440,True,
256,708,True,50431
256,991,True,50431
256,3644,True,50431
256,3646,True,50431
256,4200,True,50431
256,4201,True,50431
256,4202,True,50431
256,6607,True,50431
256,45481,True,50431
256,45482,True,50431
256,46669,True,50431
257,29088,True,100846
257,32479,True,100846
257,52938,True,100846
258,4117,True,90182
258,9056,True,90182
258,9057,True,90182
258,12240,True,90182
259,2981,True,58394
259,2982,True,58394
259,2983,True,58394
259,6551,True,58394
259,21891,True,58394
259,25041,True,58394
260,2981,True,58408
260,2982,True,58408
260,2983,True,58408
260,6551,True,58408
260,21891,True,58408
260,25041,True,58408
261,9260,True,85936
262,28945,True,212180
262,40441,True,212180
263,1304,True,
263,1305,True,
263,1306,True,
263,2421,True,
263,3742,True,
263,3743,True,
263,4531,True,
263,4532,True,
263,6425,True,
263,25866,True,
263,39174,True,
263,54001,True,
263,54580,True,
